"","CS","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"WGH-1ZZZZZZZ",16.466496681399,-0.0458233424575882,-0.00598668879235529,-0.00415083726935692,0.00629417049361318,0.0162162973481487,-0.0130444064421132,0.000930874020333807,0.0131279064475428,-0.00962963155036042,0.00342529389555088,-0.00308425675858171,-0.00143466708088296,0.00179072326758798,-0.00156181894325404,0.00155319290682456,0.00179129000428636,0.0013224312936103,0.00338575400033302,-0.00111338833215209,0.00120640832079164,-0.000483664597439654,-0.000543876773819221,-0.000363762731030618,9.05580090225039e-05,6.78507272068585e-17,4.05491612509579e-17,-3.20923843055709e-17,1.73472347597681e-18
"WGH-2ZZZZZZZ ",16.6210083701572,-0.00888890035428161,-0.00298723331057252,0.0025786828992478,0.00385042365908404,0.00537543593579818,-0.000988980280487798,0.000118149269062309,-0.000864845618012061,-0.00233433592121663,-0.00341257054059034,-0.00099728524100486,0.00448844111562083,-0.000852923119812012,-0.00236946686105904,-0.00156061447459442,0.00153703192726369,0.00264907887478994,0.00131235945976798,0.00123289038063655,0.00218407640972053,-2.3659032070914e-05,-8.73162143290442e-05,5.40331283805058e-05,-7.94266118887452e-06,2.67916521216535e-17,-3.76760254938713e-17,-2.66171633345191e-17,-3.75133951679985e-17
"WGH-3ZZZZZZZ ",16.0842344344581,-0.0378427264396855,-0.00412332117317922,0.00453436998297676,0.0159463606714505,0.0103728867147207,-0.00660055590171335,-0.00584682118083781,0.00765434283372111,-0.00266231333765545,-0.0027523563592853,-0.000289742633756424,0.00104429417491336,-0.00138746388892282,-0.00123317854984158,0.00409902919932425,0.000626294370294291,0.000439373830765369,-0.000304422577632723,0.00209220241472837,0.000798582254509168,-0.000109275170217494,-0.000257555682986901,-1.73488608154253e-05,-4.40065951496765e-06,3.82011859211689e-17,-6.91178884959509e-17,-1.63172426959068e-17,-2.5804011705155e-17
"WGH-4ZZZZZZZ ",15.8374736739449,-0.0364630163547857,-0.0117367348366277,-0.00315593150873723,0.0117496665333926,0.0227493442890684,-0.00607181016824191,0.00877065987902585,0.0126137001484739,0.00194932055615661,-0.0100903638665044,0.00178535107909148,-0.00522612668751464,-0.00280456321902833,-0.00576864328207941,-0.00264676375216163,-0.000753258365500879,-0.002565905813678,0.00337605929875736,-0.000337346197545782,0.00102860609265555,-9.93428635088223e-05,3.33341416163949e-05,8.10936787377034e-05,-1.14057708488263e-05,4.69061435201014e-17,-2.36085023058719e-17,-3.06693689541837e-17,1.25767452008319e-17
"WGH-5ZZZZZZZ ",16.399790349684,-0.033276967472896,-0.0167753658222005,0.00636079489318827,0.0295251627350292,0.00234567703175725,0.00094782300894143,0.00892019932614084,-0.00520880568904575,0.000915605037583867,-0.00500208311774733,-0.000230233184613645,-0.00608030388958643,-0.00661528480689542,-0.000501912122164754,-0.00158290786429241,-9.29769908540394e-05,-0.000251918351276225,-0.00250995452282104,0.00120505069913366,0.000510816640708766,0.000134404542968353,-8.48434385511012e-05,-2.89542446414662e-05,-5.34870697143077e-05,-1.32662300198969e-17,5.55653613398821e-17,1.25496401465197e-17,3.03576608295941e-18
"WGH-6ZZZZZZZ ",17.9293104260668,0.000113003195727249,-0.00354242003197508,0.00334778686091129,0.0185075428160116,0.0058971119108937,-0.0103157778932942,0.00199810435096912,0.00465232217802348,-0.000462517000246004,-0.00477269576637688,0.00129902397587274,0.000789193060643129,-0.000943216907053263,-0.0040878445285676,0.000696791717118051,-0.00278187758810562,0.00226211268069622,6.75917671294526e-05,-0.000309015979107589,-0.00167362047971017,-7.68737701384509e-06,-0.000167381899405608,9.01822451564194e-05,-6.94355986327438e-05,-1.19601052152307e-18,-2.5804011705155e-17,-1.49619899803e-17,-3.75133951679985e-17
"WGH-7ZZZZZZZ ",15.5408175472463,-0.0360620785376845,-0.00231601167355938,0.00678129131497056,0.00368022360453057,-0.00525869942671101,-0.0100016615304452,0.00466377540139978,-0.00165604456856029,-0.00207921563780721,0.000922327472909985,0.00425887402312861,-6.46127267751914e-05,-0.00297740737242793,-0.00373555692550021,-0.00148070382126732,-0.000123220303329879,-0.0013036981733053,0.000566801663203183,-8.09906487741889e-05,-0.00183569285333178,-7.24279358554821e-05,-0.000312309191623855,-1.46449752009869e-05,-0.000105903744308401,-3.60327815761979e-18,-4.53467558642062e-17,3.89635155736978e-17,9.86623976961809e-18
"WGH-8ZZZZZZZ ",15.9923304704213,-0.0516067812834526,-0.0185885063595391,-0.00142716739293604,0.0129454000342594,0.0092800914700893,0.00864801744647151,0.00446312292138068,0.00766365766752689,-0.000137126372898696,-0.0048026507346616,-0.00247941123622676,-0.00188346686369067,0.00260540136080549,-0.000923688952858008,-0.00250946410804943,0.000382175815301811,0.00122888603324809,0.000943221062314109,-0.000737338314395203,0.000559748208571682,-4.89009162918362e-05,-0.000360357734105159,8.15903026034511e-05,-8.9877543109954e-05,1.52838625002566e-17,-4.67291136341252e-17,2.53703308361608e-17,2.68882138776405e-17
"WGH-9ZZZZZZZ ",15.7586443344775,-0.0272722368021107,-0.00352514711472178,-0.00240652362428264,-0.00769157549148104,-0.00613535840556214,-0.00542402106232577,-0.0118269107631701,0.00330313992713929,0.00797446495239214,-0.00586995282149127,0.0079473607633515,-6.46373733353154e-05,-0.000511000327268432,-0.00423097288142631,0.0030822775155353,0.00028428298556701,-0.00122844783390296,0.00133454795090035,-0.00214798484020481,0.00426318896124184,5.69875770112879e-05,-7.73796441610374e-05,6.39046598081247e-06,-0.000163196517612911,9.26992857475106e-18,1.1817803680092e-17,-3.07100265356519e-17,-1.66425033476525e-17
"WGH-10ZZZZZZZ ",17.1715152291006,-0.0189225298685137,0.0119611752116928,0.014188151114848,0.0248153612278361,0.00424943381646919,0.00648806240898303,0.00783274979637026,-0.00739304687422836,0.00449297022835074,-0.00179913997278298,-0.00691475548598881,0.000452158801399386,-0.000896765374664204,0.00127789185625469,0.000719386784983043,0.00185964764953118,-0.00144970994668299,0.00112617216889591,0.00117217158259704,0.000534361891526375,5.90270895426602e-05,3.39039758562086e-05,-9.15342404758527e-05,0.000109158908940043,4.57380850858377e-17,1.32543715586353e-17,8.05020113070487e-18,1.69135538907739e-17
"WGH-11ZZZZZZZ ",16.4810601111267,-0.0471182989526521,0.000520133569592258,-0.00565055138689999,0.0107187315582458,-0.00327392036105853,-0.0122989122359496,0.00734583707125111,-0.0105705937837619,0.00702658312670863,-0.00455358817177167,-3.86774062201921e-05,0.00143132896757666,-0.00224031333628851,-0.00111623843573586,0.00111132905375467,-0.0029753543799672,7.77729424428385e-05,0.00152543658834397,0.00210704066760643,-0.00176054414645951,-1.15014746900222e-05,-2.38869938699835e-06,-4.97261796325334e-05,-6.21318485405517e-05,1.46579051522357e-18,-2.45165216253285e-17,-2.99781900692242e-17,-2.69966340948891e-17
"WGH-12ZZZZZZZ ",17.247426136626,-0.0441510182180077,0.00252639880047315,0.0119760860071426,0.0141771675974585,0.00119216548335934,-0.00108801473751017,0.00557637679650973,-0.00146647286541192,-0.00392022487813206,0.000102211906022662,-0.00173297984233779,-0.00108912180387274,-0.0034130530596177,-0.0018338901057258,0.00268143993448816,0.00309015332202455,-0.00137393674315418,0.00301655506157898,-0.000467407637144016,-0.000142200973617785,-0.000183714360513681,-0.00040779094167326,-6.5435061823878e-05,2.62763605907041e-05,3.18823201346519e-17,-5.18248638448071e-17,-4.92227786308419e-17,-3.16587034365767e-17
"WGH-13ZZZZZZZ ",16.2103254566971,-0.0181837652324252,0.00196446254007637,0.00329251694470503,0.0188836051482016,0.00858890748199397,-0.00159345793064504,0.0110354435599156,0.000307937238528248,-0.016412303307617,0.00649755387130436,0.00418214779745896,0.00361935843153734,0.00529749820470939,-0.00488830875485951,0.00348503487389734,0.000824171812535109,-0.000412267844815386,-0.000298690996565958,0.000147677691054318,-0.000791489532902513,-4.58052363436132e-05,-0.000264841777113185,-0.00028388404580364,0.000138437680337677,4.91550159950616e-17,-1.88651178012478e-17,-2.55329611620336e-17,6.93889390390723e-18
"WGH-14ZZZZZZZ ",16.4106559628862,-0.016925041288686,-0.0199439812120434,-0.00413865110434216,0.0122678442027727,0.00261766942983637,-0.00152063719357229,-0.00522851927038741,0.00313900548575507,0.00183316704814643,0.0006568768532069,0.00156824928196461,-0.00353613769970291,0.0023990224504132,-0.000593090511831728,0.00220815406896436,0.00317641683322366,-0.00295471845612104,0.000201807078650933,0.000739317072318616,0.00116654860962162,-0.00044415616895732,-0.000364814214077478,0.000115485972469923,-0.000231064055370081,-3.3678029982831e-18,-4.89517280877205e-17,1.54498809579184e-18,-4.27175655959289e-17
"WGH-15ZZZZZZZ ",15.5981596081799,-0.0305995267775332,-0.00270407380441226,0.0118377343011633,-0.00307126712614663,0.00678178656820424,0.00913805601568828,0.00769162540461153,0.00905337504605915,0.004184830036837,-0.00284718783322348,-0.00611431464097512,0.00374863007303433,-0.00282848406735378,-0.00387274095910358,0.00585795394246625,0.00133628414436087,-0.00196522705899116,0.00294732193581989,-0.00070884605289522,-0.00115524439900927,-7.6651184551941e-05,-0.000305115570806108,-0.000189241355146059,7.39430188468321e-05,-4.03526496071949e-17,4.52112305926455e-17,-7.3075226425523e-17,-2.38524477946811e-17
"WGH-16ZZZZZZZ ",17.9708408730592,-0.0318939837092012,-0.0123467099750581,-0.00077687390135181,0.0147633298809354,0.00540141016945488,-0.00313723571947619,-0.000922647129164331,0.0114803849549654,0.00376361094821081,-0.00302049763048881,-0.00912106838878137,0.00266775150616959,-0.0054560705205601,-0.00125110966442758,0.00445123287088111,0.00376660815620387,-0.000608453305522187,-0.00188065215895742,0.00127460219654956,-0.00142091934577566,-0.000175376426908597,-0.000151298258689298,1.67987450787688e-05,-4.4367605337111e-05,-6.15962359243327e-18,2.24429849704499e-17,-3.75676052766227e-17,-2.90566182226115e-17
"WGH-17ZZZZZZZ ",16.2785388147356,-0.0202156393502916,-0.0214143748118112,0.00546269608803946,0.0226598477497047,0.0131588161980539,-0.00715490012484159,0.00859523432878316,-0.00361875333903381,-0.00604234657360264,0.00695559102230455,-0.000532102158718886,-0.0055905971108345,-0.00174222428163342,-0.00379794344432428,0.00198658662579461,0.00364404014753632,-0.00051836564072682,-0.000647043966179469,0.000266556826849518,-0.000484089899379707,0.000186702087575612,9.55636072126277e-05,-3.37709737145177e-06,-3.58735770330058e-05,1.70151978444444e-17,-6.96057794735694e-17,1.79435459546351e-17,-2.60208521396521e-18
"WGH-18ZZZZZZZ ",17.2065662531536,-0.0321971327208865,0.00220000466166296,0.0119534022266372,0.0180614225540771,0.0137748847445594,0.00180615814511402,0.00368591810837731,-0.002027335929249,0.00196557812753455,0.00167580191562742,0.00263489148050028,0.0036777617698398,0.000517573072986152,0.00183525104363711,0.000843375647226802,-0.0020402395310702,-0.000667453235667896,0.000599584634296919,0.000276233017963328,8.65862461925554e-05,-0.00012708973023855,-0.000105788049059559,-5.07900766498582e-05,5.47819420058509e-05,-4.47843259872294e-17,-5.55653613398821e-18,-2.05862887500685e-17,2.56955914879065e-17
"WGH-19ZZZZZZZ ",15.5740728731026,-0.0242468825963782,-0.0250128271821518,-0.00177195636999386,0.0248088814457318,0.00189249428483812,-0.00397005009471884,0.0156000952471008,-0.000830063436392589,0.00734367351421079,0.000477396789532276,-0.0087869723960551,-0.00469688718097043,-0.00443210231625251,-0.00373373939688042,-0.00148113193641479,-0.0010258747291935,-0.00277481385102765,0.000397098794003968,0.00156452959174165,0.00108890476606646,1.35059567757279e-05,-0.000189047530733431,0.000110977740208777,-4.50441260808786e-05,8.69132036848165e-17,-2.99510850149121e-18,1.20617491689012e-18,1.51517253604849e-17
