"","pop","env","trt","CS","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"LGH-C201AHN0","GH","lab","no_cue",18.7646238369369,-0.00826852003090621,-0.00526461169150895,-0.00229483692571751,-0.0142796371144499,0.00644353556719818,-0.000932133605329674,-0.00245805538868676,0.00395057982345975,-0.000653959021776803,0.00523859987298839,0.00132096724096896,0.00431287872014024,-0.00114057120996404,0.000669907895063339,-0.000932502718264,0.00443933506689216,0.00123322660176174,0.00116166523089969,0.000694150494689901,-0.00071560028019839,9.7344118988781e-05,0.000267955803916017,-9.48224620439276e-05,1.72875722758294e-05,1.32597925694977e-16,-3.67002435386343e-17,-2.38524477946811e-17,-2.17111485040222e-17
"LGH-C202AHN0","GH","lab","no_cue",16.6177882267379,0.0090112393520348,-0.00351429260757677,-0.00316943479051241,-0.0032526280539507,0.00262078523454887,0.000713204851719896,-0.00530628931227374,0.00130353889763112,-0.00153114145184273,-0.00479344513609689,-0.00133246850810131,0.00247106252757115,-0.00355533215111448,2.12080939590516e-05,0.00173095140731705,0.00036047133573785,-0.000366372095560528,0.000513561865877246,0.00194994094708117,-0.000518048272272765,-9.38031948980047e-05,9.08649863467537e-05,1.26198717124337e-05,-3.20951301100504e-05,3.62970558557413e-17,-5.70154817455815e-17,2.68340037690162e-17,-3.23498823215362e-17
"LGH-C204AHN0","GH","lab","no_cue",16.6082183105287,0.00663678942335613,-0.0122987858856745,-0.00551803114520011,-0.0133838841453245,0.0059081078462659,0.00671462000565879,-0.000214467442161117,0.0035718165108774,-0.00452360761704249,-0.00359701493212475,-0.00282652705897218,-0.000397759618818316,0.000716328647866757,0.0010042865058944,-0.00124857628386668,0.000343457022221142,0.000674140844531729,0.00108490296318773,-0.000562030160927741,0.00106916479458022,0.000152303912481346,5.81651738626774e-05,-0.000167259402538074,-6.33430843727773e-05,-7.30887789526791e-17,1.27393755267047e-17,-2.03830008427275e-17,4.01696904905879e-17
"LGH-C205AHN0","GH","lab","no_cue",19.4491308736081,0.000203003508567465,-0.00699409838015161,0.00986725637154249,-0.00263877125101265,0.00925940154504556,-0.00659839285980659,-0.00653925477638963,-0.00737679466240864,0.000885049085720991,0.00231074511677841,-0.00444947468573358,-0.00598250278288328,-0.00161733085981664,-0.00280498569597954,-0.000406027443865445,-0.00269722722804463,-0.0021859843861175,0.000601412772374505,0.00148478129795228,0.00125274104501717,3.00932675305172e-05,-0.000156213209057165,2.24557667194873e-05,-0.000100583328117477,-4.62310582611397e-17,5.97327634403733e-17,-1.83501217693172e-17,3.85162821775475e-17
"LGH-C206BHN0","GH","lab","no_cue",14.0454994520289,-0.0317282958509526,-0.00555692536961591,-0.0176631583546564,-0.00220261343303463,0.00739789028007085,-0.0175516069354683,-0.00364669709067294,0.00271266782812818,0.00388472060621873,-0.00770982189258008,-0.00017095447127314,0.00284066390220423,2.19629983046976e-05,-0.00352613419091907,-0.00240481537700235,0.00177880458577553,-0.00128061752771132,-0.000183484281702676,0.000453431020982323,-0.000287358082154667,-0.000159511102666527,0.000524338926508426,0.000294187597082245,-0.000119704372441548,-1.65264598338787e-17,2.87855676794901e-17,-3.07642366442762e-18,2.60276284032301e-17
"LGH-C207BHN0","GH","lab","no_cue",19.792337617574,-0.0235377723762123,-0.00367925450630105,0.0140912543732491,-0.0111257301246952,0.00645173749392076,-0.00896764578460153,-0.00452446802081779,-0.00127127308152027,0.000415931612235056,0.00251151271782451,0.00125562580305987,0.00252267041583104,-0.00555849785667686,0.00140836987385519,-0.00166391563224005,-0.000191976924428572,-0.000281860845464426,-0.00329506333667987,-0.000112861399060178,7.61477215880873e-05,9.6170904766505e-05,-0.000359893670689282,-3.27404977483957e-06,0.000170918563882307,1.10588621593521e-16,-2.59666420310278e-17,3.29597460435593e-17,3.92481186439753e-17
"LGH-C208AHN0","GH","lab","no_cue",18.1079268368849,-0.0185103676439281,0.00445041659352527,0.0111141939179,-0.000351206267733665,-0.00126397187674318,-0.00718981423294755,-0.00296511611564474,-0.00358886631278459,-0.00487932485341864,0.00360451162260612,0.00149446137319417,0.00319969771166604,-0.00395278360301696,-0.00284717460790418,0.000852817352118831,-0.00135275332193954,-0.00243851799519256,0.00142295974536752,-0.00129517554202579,0.000582290885500756,-7.08270920541568e-05,-4.19021647890731e-05,-0.000109028659527347,6.14786810389317e-05,4.66681272619229e-17,1.17364885171556e-17,-4.44522890719057e-18,-8.99887803162969e-18
"LGH-C209AHN0","GH","lab","no_cue",17.5444578438848,-0.0161043794478959,-0.0113124561382108,-0.0318337646837323,-0.0169627998211263,0.00275649576962038,-0.00554062628761657,-0.00585360029674228,0.000538335759864252,-0.0018905333718191,-0.00442362170113841,-0.00272750394138245,0.00433904202021629,0.00169716124062826,0.00415656071260192,0.00251447746198065,-0.00490841082916306,0.00212456556304891,0.000454778186838493,-0.00223371891776897,0.00220085544290935,0.000159417988270766,0.000108710399194166,0.00010511084661166,-7.30711761689258e-06,1.46909394371786e-17,1.53143556863578e-17,-1.01915004213637e-17,-2.46655994240452e-18
"LGH-C210AHN0","GH","lab","no_cue",18.0211962932887,-0.015451825137825,0.00218281762841181,-0.00667341264321653,-0.00858249056349219,-0.00488361965576397,0.00104560204978928,0.00137587691292093,-0.00614962631102603,-0.000978406155766746,0.00472459830388741,-0.00232201102137906,-0.00126481280511058,-0.00165624922497996,0.00214039718261486,-0.00332772912152623,0.000999295167138911,0.00133276789681505,-0.00134480266556689,-0.000316321894011784,0.000827253392462968,-0.000180381739835468,-0.000101251400991005,7.76354795166705e-06,2.22476477680821e-05,2.78436670421434e-17,-3.61039323437673e-17,-1.36609473733174e-17,-2.31206113282534e-17
"LGH-C211AHN0","GH","lab","no_cue",16.4338682068593,-0.0190436495932109,-0.0121561938371565,0.00574426547082175,-0.00535709486706625,-0.00182904406090548,0.0106802893556644,0.00104599307658173,0.00186752908133289,-0.00283526454088174,-0.00773513666645679,-0.00491198018230064,-0.00036631628085728,0.00114842067591879,0.00183890593188341,-0.00114546413738523,-0.001396026527557,-0.00235243518776276,-0.00203525010844804,-0.00187207402073454,0.000772101694029238,-0.000132387840237524,-8.29322912849556e-05,0.000120318908982364,3.43074257977653e-05,2.14976962013141e-17,1.21159592775255e-17,-2.07624716030974e-17,1.9298798670242e-17
"LGH-C212AHN0","GH","lab","no_cue",17.5198957167272,-0.00489045400356713,-0.00159361250944309,0.0281622404444963,-0.00142299897690299,-0.00240633491195472,-0.00320233981690863,-0.0112566465186467,-0.00780169815815401,-0.00150584199006112,-0.00349188647133588,0.00437184479778063,0.00153371196490895,0.00344271691429591,0.00148210209662564,0.000697204852812115,0.00034155304831923,-0.00366925218090894,-0.0011818743913493,-0.000690643550917314,-0.000486870638312357,0.000109634239585716,7.93499087656826e-05,-0.000144428669562246,-0.00011192784310283,3.21804757320854e-17,-2.69966340948891e-17,-1.77809156287623e-17,-1.5368565794982e-17
"LGH-C213AHN0","GH","lab","no_cue",16.8139451004572,0.00866711336316433,-0.0107549316645062,0.00972640183998362,-0.000677155261281241,-0.00351205680842487,-0.0013775131516329,-0.00552000510114374,0.00228182143428395,-0.00598149299242513,-0.00225815638339781,-0.00142742495226437,0.00230479861548998,-0.000993780608997797,0.00140549059754288,0.000111062156816872,-0.000956707894832428,-7.38383171704204e-05,-0.000524799259767909,-0.00239364184532696,-0.000101532734555954,7.93003622712042e-05,-0.000167439056398611,-7.97320550796304e-06,-2.04439183662791e-05,-8.913327703957e-18,1.5165277887641e-17,-4.57262266245761e-17,4.59701721133854e-17
