,x
WGH-1ZZZZZZZ,16.46649668
WGH-2ZZZZZZZ,16.62100837
WGH-3ZZZZZZZ,16.08423443
WGH-4ZZZZZZZ,15.83747367
WGH-5ZZZZZZZ,16.39979035
WGH-6ZZZZZZZ,17.92931043
WGH-7ZZZZZZZ,15.54081755
WGH-8ZZZZZZZ,15.99233047
WGH-9ZZZZZZZ,15.75864433
WGH-10ZZZZZZZ,17.17151523
WGH-11ZZZZZZZ,16.48106011
WGH-12ZZZZZZZ,17.24742614
WGH-13ZZZZZZZ,16.21032546
WGH-14ZZZZZZZ,16.41065596
WGH-15ZZZZZZZ,15.59815961
WGH-16ZZZZZZZ,17.97084087
WGH-17ZZZZZZZ,16.27853881
WGH-18ZZZZZZZ,17.20656625
WGH-19ZZZZZZZ,15.57407287
WGH-20ZZZZZZZ,16.43580066
WGH-21ZZZZZZZ,16.94783975
WGH-22ZZZZZZZ,16.05187903
WGH-23ZZZZZZZ,17.15463197
WGH-24ZZZZZZZ,16.94006521
WGH-25ZZZZZZZ,16.37007915
WGH-26ZZZZZZZ,16.65613011
WGH-27ZZZZZZZ,17.49507406
WGH-28ZZZZZZZ,16.92805643
WGH-29ZZZZZZZ,17.72014764
WGH-30ZZZZZZZ,17.73849354
WGH-31ZZZZZZZ,16.38664031
WGH-32ZZZZZZZ,18.65830163
WGH-33ZZZZZZZ,16.10813383
WGH-34ZZZZZZZ,18.9165883
WGH-35ZZZZZZZ,16.20994976
WGH-36ZZZZZZZ,17.76830436
WGH-37ZZZZZZZ,16.2480062
WGH-38ZZZZZZZ,17.75156558
WGH-39ZZZZZZZ,15.74915177
WGH-40ZZZZZZZ,17.66439519
WGH-41ZZZZZZZ,16.73918726
WGH-42ZZZZZZZ,17.21851736
WGH-43ZZZZZZZ,15.86609994
WGH-44ZZZZZZZ,17.95456415
WGH-45ZZZZZZZ,18.39713471
WGH-46ZZZZZZZ,17.53593506
WGH-47ZZZZZZZ,17.01065206
WGH-48ZZZZZZZ,16.8420518
WGH-49ZZZZZZZ,16.56204344
WGH-50ZZZZZZZ,17.26119938
WGH-51ZZZZZZZ,17.13926499
WGH-52ZZZZZZZ,21.1691643
WGH-53ZZZZZZZ,17.33726013
WGH-54ZZZZZZZ,17.88757953
WGH-55ZZZZZZZ,17.49089247
WGH-56ZZZZZZZ,17.22046649
WGH-57ZZZZZZZ,15.90587575
WGH-58ZZZZZZZ,18.07886555
WGH-59ZZZZZZZ,16.03940039
WGH-60ZZZZZZZ,17.29922364
WGH-61ZZZZZZZ,16.69645756
WGH-62ZZZZZZZ,16.8560238
WGH-63ZZZZZZZ,18.66882686
WGH-64ZZZZZZZ,17.3683431
WGH-65ZZZZZZZ,17.46232281
WGH-66ZZZZZZZ,16.65157733
WGH-67ZZZZZZZ,16.6532515
WLL-1B2Y3Y,22.58881602
WLL-1B5B,21.64404882
WLL-1B5G,20.41962296
WLL-1B5P,20.45683949
WLL-1B5V,20.37780912
WLL-1B5Y,19.34158876
WLL-1B6B,19.83861466
WLL-1B6G,19.20582914
WLL-1B6K,19.82987856
WLL-1B6O,19.09675381
WLL-1B6P,18.62925176
WLL-1B6R,19.39527341
WLL-1B6V,18.39612395
WLL-1B7B,20.4848163
WLL-1B7G,21.73916649
WLL-1B7K,20.35080717
WLL-1B7O,20.48001094
WLL-1B7P,18.94698861
WLL-1B7V,20.17313204
WLL-1B7Y,20.38228263
WLL-1B8B,20.19667094
WLL-1B8G,20.79881957
WLL-1B8K,20.98284243
WLL-1B8P,19.11109165
WLL-1B8R,20.77829355
WLL-1B8V,18.56820861
WLL-1B8Y,19.58740499
WLL-1G2G,17.87203807
WLL-1G2O,18.34605755
WLL-1G2P,20.42463535
WLL-1G2R,18.32533021
WLL-1G2V,19.72063275
WLL-1G2Y,18.21154628
WLL-1G5B,18.54169871
WLL-1G5K,18.97854722
WLL-1G5O,20.91804929
WLL-1G5P,18.77099197
WLL-1G5R,19.82060293
WLL-1G5Y,21.33884247
WLL-1G6B,20.04901984
WLL-1G6K,19.3436469
WLL-1G6O,19.05788203
WLL-1G6P,19.89664696
WLL-1G6R,19.81196878
WLL-1G6V,19.21439515
WLL-1G6Y,20.19943147
WLL-1G7B,18.86110745
WLL-1G7G,20.14602346
WLL-1G7K,17.50925986
WLL-1G7O,18.94074872
WLL-1G7P,17.30962355
WLL-1G7R,17.68804957
WLL-1G7V,18.40346064
WLL-1G7Y,19.48111002
WLL-1G8B,18.78055025
WLL-1G8G,20.23845972
WLL-1G8K,19.89578311
WLL-1G8O,18.89468379
WLL-1G8Y,20.36260028
WLL-1K5G,21.1840597
WLL-1K5O,20.02199545
WLL-1K5P,20.29031884
WLL-1K5V,21.48756825
WLL-1K5Y,19.59997134
WLL-1K6B,20.58541314
WLL-1K6K,19.77020537
WLL-1K6O,20.6777487
WLL-1K6P,18.1739692
WLL-1K6R,20.54533853
WLL-1K6V,18.66000078
WLL-1K7K,19.31426204
WLL-1K7R,19.37962658
WLL-1K7V,19.1445494
WLL-1K8K,18.36104454
WLL-1K8O,17.39184599
WLL-1K8P,19.72591857
WLL-1K8R,21.11122691
WLL-1K8V,20.14728503
WLL-1K8Y,20.67669911
WLL-1O2G,19.14522894
WLL-1O2O,18.26440135
WLL-1O2P,18.77064962
WLL-1O2Y,19.91140341
WLL-1O5B,19.18698132
WLL-1O5K,20.30795605
WLL-1O5O,20.12383868
WLL-1O5V,18.99286501
WLL-1O6B,19.23959198
WLL-1O6G,22.58547333
WLL-1O6K,21.53427971
WLL-1O6P,19.4639007
WLL-1O6R,21.43004825
WLL-1O6Y,18.65256551
WLL-1O7Y,18.30356986
WLL-1O8O,18.62006667
WLL-1O8P,20.05058235
WLL-1O8V,20.26860761
WLL-1O8Y,18.16309651
WLL-1P2B,20.04313602
WLL-1P5B,19.24560073
WLL-1P5K,19.66318152
WLL-1P5O,19.08087845
WLL-1P5P,20.9591736
WLL-1P5R,20.65850502
WLL-1P5V,20.07426195
WLL-1P5Y,18.82253972
WLL-1P6O,19.70674665
WLL-1P6Y,17.93533828
WLL-1P7G,21.37734703
WLL-1P7O,20.72190122
WLL-1P7P,18.55986519
WLL-1P7R,20.47212426
WLL-1P8O,21.29242098
WLL-1P8P,19.44841434
WLL-1P8R,18.53731817
WLL-1R2O,20.87078008
WLL-1R2Y,19.7505819
WLL-1R5B,20.65919748
WLL-1R5K,17.33466911
WLL-1R5R,19.95713027
WLL-1R5V,18.81001739
WLL-1R5Y,18.79768997
WLL-1R6G,18.68361313
WLL-1R6K,21.15768329
WLL-1R6P,21.03614548
WLL-1R6V,20.98376365
WLL-1R7R,19.26754527
WLL-1R8B,20.5960264
WLL-1R8G,19.43499771
WLL-1R8R,20.04148472
WLL-1V5B,21.21792356
WLL-1V5G,19.55790978
WLL-1V5K,20.17641958
WLL-1V6G,17.36236601
WLL-1V6K,19.07917932
WLL-1V6V,20.01339754
WLL-1V6Y,19.29248412
WLL-1V7R,20.88080186
WLL-1V7V,20.29467983
WLL-1V7Y,20.52536325
WLL-1V8B,20.39839315
WLL-1V8K,20.7771466
WLL-1V8R,21.23776574
WLL-1V8V,21.4961242
WLL-1V8Y,19.07319707
WLL-1Y2B,18.22941591
WLL-1Y2G,18.78740823
WLL-1Y2O,19.17271788
WLL-1Y2P,18.57539576
WLL-1Y2Y,20.09146362
WLL-1Y5G,18.24833599
WLL-1Y5O,20.11732456
WLL-1Y5P,21.64384812
WLL-1Y5Y,19.4038374
WLL-1Y6B,20.39596576
WLL-1Y6G,18.52196495
WLL-1Y6K,19.28594732
WLL-1Y6P,19.67568022
WLL-1Y6R,18.76470238
WLL-1Y6V,19.47002496
WLL-1Y7B,20.10626635
WLL-1Y7O,19.89049542
WLL-1Y7Y,18.0309992
WLL-2B5K,18.8636256
WLL-2G5O,17.89613004
WLL-2G6O,21.50527371
WLL-2G7B,21.53241373
WLL-2G7O,20.37744697
WLL-2G8B,19.65270072
WLL-2G8G,18.4106564
WLL-2G8O,20.02889961
WLL-2K8G,20.11774365
WLL-2O5G,19.13956041
WLL-2O7G,20.59463901
WLL-2P6G,21.51144726
WLL-2R6B,18.20730044
WLL-2V6K,19.34338044
WLL-2V6R,21.37494035
WLL-2V7K,19.86438037
WLL-2V7R,20.83349893
WLL-2V7Y,19.79691316
WLL-2V8Y,21.36220752
WLL-2Y5R,17.9388478
WLL-2Y6R,20.5295607
WLL-2Y6V,17.23679131
WLL-2Y7G,19.65132342
WLL-2Y7R,20.95357117
WLL-2Y8R,18.97205926
WLL-3B5B,21.83661504
WLL-3B5V,19.64158474
WLL-3B6G,21.80548218
WLL-3B7K,19.10865672
WLL-3B8B,18.78178239
WLL-3B8G,19.31057399
WLL-3G5K,20.86400763
WLL-3G7V,21.60632092
WLL-3G7Y,19.16708457
WLL-3G8Y,17.93043848
WLL-3K5K,19.35494544
WLL-3K5P,18.64700471
WLL-3K5R,19.94294126
WLL-3K5V,21.64876636
WLL-3K6K,17.57431533
WLL-3K6V,19.11578995
WLL-3K7K,19.41574596
WLL-3K7R,20.23812101
WUL-1K8B,19.1022653
WUL-1B2G,18.23647397
WUL-1B2P,19.7271454
WUL-1O3R,21.01536381
WUL-1O3V,21.28882646
WUL-1B5B,22.01168201
WUL-1B5G,22.08181799
WUL-1B5K,21.74234603
WUL-1B5Y,20.65174205
WUL-1O3G,22.4777246
WUL-1B5R,21.48228121
WUL-1B6K,20.69136601
WUL-1P2B,20.92013095
WUL-1B5V,20.66567452
WUL-1R3B,18.25584573
WUL-1R3G,21.58618352
WUL-1R3P,21.69421579
WUL-1R3R,18.07548464
WUL-1B5V6O,21.72404948
WUL-1R3V,19.32942916
WUL-1V2G,18.99917814
WUL-1V2R,18.86708506
WUL-1V2V,19.79749159
WUL-1B6G,21.25045972
WUL-1V2Y,19.1583896
WUL-1Y3G,19.13390859
WUL-1Y3O,19.67099819
WUL-1B7O,20.2104571
WUL-1B6O,21.12536228
WUL-1B7R,19.06642265
WUL-1B6P,18.86107724
WUL-1B7V,19.40218805
WUL-1B6R,19.61347949
WUL-1B8G,19.4762704
WUL-1B6V,22.83532527
WUL-1B8K,20.24150091
WUL-1B8O,20.38842291
WUL-1B6Y,20.47422569
WUL-1B8R,18.75126305
WUL-1B7B,20.35709181
WUL-1B7K,19.34471552
WUL-1B7P,19.91843094
WUL-1G5R,21.22423196
