,pop,env,trt,type
WGH-1ZZZZZZZ,GH,field,field,HP
WGH-2ZZZZZZZ,GH,field,field,HP
WGH-3ZZZZZZZ,GH,field,field,HP
WGH-4ZZZZZZZ,GH,field,field,HP
WGH-5ZZZZZZZ,GH,field,field,HP
WGH-6ZZZZZZZ,GH,field,field,HP
WGH-7ZZZZZZZ,GH,field,field,HP
WGH-8ZZZZZZZ,GH,field,field,HP
WGH-9ZZZZZZZ,GH,field,field,HP
WGH-10ZZZZZZZ,GH,field,field,HP
WGH-11ZZZZZZZ,GH,field,field,HP
WGH-12ZZZZZZZ,GH,field,field,HP
WGH-13ZZZZZZZ,GH,field,field,HP
WGH-14ZZZZZZZ,GH,field,field,HP
WGH-15ZZZZZZZ,GH,field,field,HP
WGH-16ZZZZZZZ,GH,field,field,HP
WGH-17ZZZZZZZ,GH,field,field,HP
WGH-18ZZZZZZZ,GH,field,field,HP
WGH-19ZZZZZZZ,GH,field,field,HP
WGH-20ZZZZZZZ,GH,field,field,HP
WGH-21ZZZZZZZ,GH,field,field,HP
WGH-22ZZZZZZZ,GH,field,field,HP
WGH-23ZZZZZZZ,GH,field,field,HP
WGH-24ZZZZZZZ,GH,field,field,HP
WGH-25ZZZZZZZ,GH,field,field,HP
WGH-26ZZZZZZZ,GH,field,field,HP
WGH-27ZZZZZZZ,GH,field,field,HP
WGH-28ZZZZZZZ,GH,field,field,HP
WGH-29ZZZZZZZ,GH,field,field,HP
WGH-30ZZZZZZZ,GH,field,field,HP
WGH-31ZZZZZZZ,GH,field,field,HP
WGH-32ZZZZZZZ,GH,field,field,HP
WGH-33ZZZZZZZ,GH,field,field,HP
WGH-34ZZZZZZZ,GH,field,field,HP
WGH-35ZZZZZZZ,GH,field,field,HP
WGH-36ZZZZZZZ,GH,field,field,HP
WGH-37ZZZZZZZ,GH,field,field,HP
WGH-38ZZZZZZZ,GH,field,field,HP
WGH-39ZZZZZZZ,GH,field,field,HP
WGH-40ZZZZZZZ,GH,field,field,HP
WGH-41ZZZZZZZ,GH,field,field,HP
WGH-42ZZZZZZZ,GH,field,field,HP
WGH-43ZZZZZZZ,GH,field,field,HP
WGH-44ZZZZZZZ,GH,field,field,HP
WGH-45ZZZZZZZ,GH,field,field,HP
WGH-46ZZZZZZZ,GH,field,field,HP
WGH-47ZZZZZZZ,GH,field,field,HP
WGH-48ZZZZZZZ,GH,field,field,HP
WGH-49ZZZZZZZ,GH,field,field,HP
WGH-50ZZZZZZZ,GH,field,field,HP
WGH-51ZZZZZZZ,GH,field,field,HP
WGH-52ZZZZZZZ,GH,field,field,HP
WGH-53ZZZZZZZ,GH,field,field,HP
WGH-54ZZZZZZZ,GH,field,field,HP
WGH-55ZZZZZZZ,GH,field,field,HP
