ANOVA-with-RRPP

,df,SSE,SS,F,Z,P
log(CS),274,0.19480,
log(CS)+population+treatment+population:treatment,259,0.12279,0.072019,10.128,6.6841,1e-04

$LS.Means.dist
,Anc:cue,Anc:no_cue,Intro1:cue,Intro1:no_cue,Intro2:cue,Intro2:no_cue,Intro3:cue,Intro3:no_cue,Intro4:cue,Intro4:no_cue,LP1:cue,LP1:no_cue,LP2:cue,LP2:no_cue,LP3:cue,LP3:no_cue
Anc:cue,0.000000000,0.009108832,0.013759977,0.022506745,0.011745361,0.019556841,0.01297256,0.01096695,0.01495230,0.02204910,0.02937318,0.03091935,0.03378101,0.03573955,0.02585851,0.02964296
Anc:no_cue,0.009108832,0.000000000,0.013526186,0.016546592,0.013871894,0.014198180,0.01992505,0.01039170,0.01742925,0.01989427,0.02700304,0.02676945,0.03160429,0.03236661,0.02397559,0.02488099
Intro1:cue,0.013759977,0.013526186,0.000000000,0.015770865,0.007983866,0.013071082,0.02227194,0.01830840,0.02268587,0.02901778,0.03181013,0.03173271,0.03704105,0.03712948,0.02884119,0.03161883
Intro1:no_cue,0.022506745,0.016546592,0.015770865,0.000000000,0.018158540,0.008947231,0.03275883,0.02181853,0.02553821,0.02637496,0.02571495,0.02154401,0.03140794,0.02926957,0.02349817,0.02126964
Intro2:cue,0.011745361,0.013871894,0.007983866,0.018158540,0.000000000,0.015098816,0.01988468,0.01658037,0.01917040,0.02741821,0.02884054,0.03002354,0.03367793,0.03437203,0.02520798,0.03016070
Intro2:no_cue,0.019556841,0.014198180,0.013071082,0.008947231,0.015098816,0.000000000,0.02951572,0.02078198,0.02475118,0.02830219,0.02985570,0.02719089,0.03396619,0.03260092,0.02644119,0.02576126
Intro3:cue,0.012972563,0.019925053,0.022271941,0.032758834,0.019884681,0.029515718,0.00000000,0.01757773,0.01688188,0.02680773,0.03832631,0.04038948,0.03898342,0.04208376,0.03275681,0.03809378
Intro3:no_cue,0.010966953,0.010391699,0.018308404,0.021818528,0.016580369,0.020781981,0.01757773,0.00000000,0.01481323,0.01467351,0.02629879,0.02715358,0.02660426,0.02877550,0.02223457,0.02495548
Intro4:cue,0.014952301,0.017429251,0.022685869,0.025538214,0.019170404,0.024751185,0.01688188,0.01481323,0.00000000,0.01584747,0.02650845,0.02737010,0.02662765,0.02864516,0.01834140,0.02409034
Intro4:no_cue,0.022049101,0.019894274,0.029017776,0.026374964,0.027418208,0.028302188,0.02680773,0.01467351,0.01584747,0.00000000,0.02276103,0.02245796,0.02045157,0.02267920,0.01771448,0.01823698
LP1:cue,0.029373176,0.027003042,0.031810129,0.025714946,0.028840538,0.029855703,0.03832631,0.02629879,0.02650845,0.02276103,0.00000000,0.01032005,0.02593603,0.02400699,0.01455486,0.01742306
LP1:no_cue,0.030919347,0.026769448,0.031732711,0.021544012,0.030023540,0.027190891,0.04038948,0.02715358,0.02737010,0.02245796,0.01032005,0.00000000,0.02377748,0.02041398,0.01426473,0.01022140
LP2:cue,0.033781008,0.031604292,0.037041048,0.031407940,0.033677932,0.033966191,0.03898342,0.02660426,0.02662765,0.02045157,0.02593603,0.02377748,0.00000000,0.01053938,0.01964937,0.02024744
LP2:no_cue,0.035739553,0.032366613,0.037129478,0.029269573,0.034372033,0.032600925,0.04208376,0.02877550,0.02864516,0.02267920,0.02400699,0.02041398,0.01053938,0.00000000,0.01756799,0.01675525
LP3:cue,0.025858506,0.023975594,0.028841192,0.023498174,0.025207980,0.026441193,0.03275681,0.02223457,0.01834140,0.01771448,0.01455486,0.01426473,0.01964937,0.01756799,0.00000000,0.01237894
LP3:no_cue,0.029642956,0.024880990,0.031618829,0.021269638,0.030160704,0.025761259,0.03809378,0.02495548,0.02409034,0.01823698,0.01742306,0.01022140,0.02024744,0.01675525,0.01237894,0.00000000

$Prob.Means.dist
,Anc:cue,Anc:no_cue,Intro1:cue,Intro1:no_cue,Intro2:cue,Intro2:no_cue,Intro3:cue,Intro3:no_cue,Intro4:cue,Intro4:no_cue,LP1:cue,LP1:no_cue,LP2:cue,LP2:no_cue,LP3:cue,LP3:no_cue
Anc:cue,1.0000,0.2393,0.0210,0.0001,0.0563,0.0003,0.0805,0.2132,0.0392,0.0005,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Anc:no_cue,0.2393,1.0000,0.0271,0.0030,0.0223,0.0118,0.0025,0.2513,0.0166,0.0015,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Intro1:cue,0.0210,0.0271,1.0000,0.0111,0.4730,0.0400,0.0007,0.0068,0.0011,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Intro1:no_cue,0.0001,0.0030,0.0111,1.0000,0.0040,0.2949,0.0001,0.0009,0.0002,0.0001,0.0001,0.0003,0.0001,0.0001,0.0003,0.0003
Intro2:cue,0.0563,0.0223,0.4730,0.0040,1.0000,0.0152,0.0013,0.0168,0.0023,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Intro2:no_cue,0.0003,0.0118,0.0400,0.2949,0.0152,1.0000,0.0001,0.0007,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
Intro3:cue,0.0805,0.0025,0.0007,0.0001,0.0013,0.0001,1.0000,0.0255,0.0340,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Intro3:no_cue,0.2132,0.2513,0.0068,0.0009,0.0168,0.0007,0.0255,1.0000,0.1124,0.0917,0.0001,0.0001,0.0002,0.0002,0.0011,0.0003
Intro4:cue,0.0392,0.0166,0.0011,0.0002,0.0023,0.0002,0.0340,0.1124,1.0000,0.0681,0.0001,0.0001,0.0001,0.0001,0.0135,0.0014
Intro4:no_cue,0.0005,0.0015,0.0001,0.0001,0.0001,0.0001,0.0002,0.0917,0.0681,1.0000,0.0007,0.0005,0.0050,0.0019,0.0174,0.0159
LP1:cue,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0007,1.0000,0.2012,0.0002,0.0002,0.0297,0.0209
LP1:no_cue,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0005,0.2012,1.0000,0.0004,0.0018,0.0369,0.2589
